county,county_fips,n_schools,pct_schools_below_95,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
San Mateo,,167,0.1317,0.9887,0.9862,0.9907,0.9704,0.9905,0.9925,0.9931,0.9931,0.9924,0.9668,0.9879,0.9903,0.9911,0.991,0.9902,0.9734,0.9927,0.9943,0.9948,0.9947,0.9942,1,1,1,1,1,1,0,H
Santa Barbara,,105,0.0952,0.9868,0.983,0.9897,0.9676,0.9885,0.9908,0.9916,0.9915,0.9907,0.962,0.9844,0.9874,0.9885,0.9884,0.9873,0.9719,0.9916,0.9934,0.994,0.9939,0.9933,1,1,1,1,1,1,0,H
Santa Clara,,391,0.1893,0.99,0.9887,0.9913,0.9724,0.992,0.9937,0.9942,0.9942,0.9936,0.9705,0.9905,0.9925,0.9931,0.9931,0.9924,0.9742,0.9933,0.9948,0.9952,0.9952,0.9947,1,1,1,1,1,1,0,H
Santa Cruz,,60,0.1333,0.9673,0.9512,0.9777,0.9389,0.9673,0.9734,0.9756,0.9753,0.9731,0.9156,0.9499,0.959,0.9622,0.9619,0.9585,0.9541,0.9786,0.9828,0.9842,0.984,0.9826,1,1,1,1,1,1,0.0195,H
Shasta,,54,0.3148,0.9322,0.9043,0.9534,0.8887,0.9293,0.9418,0.9464,0.9459,0.9411,0.8494,0.8992,0.9166,0.923,0.9223,0.9156,0.9187,0.9522,0.961,0.9642,0.9638,0.9606,1,1,1,1,1,1,0.9252,M
Sierra,,1,0,0.9774,0.9224,0.995,0.954,0.9783,0.9824,0.9839,0.9837,0.9822,0.875,0.9187,0.9329,0.9381,0.9376,0.9322,0.9799,0.9974,0.9981,0.9983,0.9982,0.9981,1,1,1,1,1,1,0.071,H
Siskiyou,,15,0.3333,0.953,0.913,0.9779,0.9184,0.9519,0.9606,0.9637,0.9634,0.9601,0.8616,0.9084,0.9243,0.9303,0.9296,0.9235,0.9544,0.9788,0.9829,0.9843,0.9841,0.9826,1,1,1,1,1,1,0.366,H
Solano,,83,0.2651,0.99,0.9867,0.9924,0.9724,0.992,0.9937,0.9942,0.9941,0.9936,0.9675,0.9884,0.9908,0.9916,0.9915,0.9907,0.9759,0.9946,0.9958,0.9962,0.9961,0.9957,1,1,1,1,1,1,0,H
Butte,,53,0.2264,0.9749,0.9638,0.9833,0.9501,0.9756,0.9803,0.9819,0.9817,0.98,0.9338,0.9635,0.9703,0.9728,0.9724,0.9699,0.9625,0.9847,0.9878,0.9888,0.9887,0.9876,1,1,1,1,1,1,0.001,H
Sonoma,,126,0.1508,0.9741,0.9667,0.98,0.9488,0.9747,0.9795,0.9812,0.981,0.9792,0.9378,0.9666,0.9729,0.9751,0.9749,0.9726,0.9576,0.9811,0.9848,0.9861,0.9859,0.9846,1,1,1,1,1,1,0,H
Stanislaus,,129,0.1783,0.99,0.9875,0.9919,0.9723,0.9919,0.9936,0.9942,0.9941,0.9936,0.9688,0.9893,0.9915,0.9922,0.9921,0.9914,0.9752,0.9941,0.9954,0.9958,0.9957,0.9953,1,1,1,1,1,1,0,H
Sutter,,34,0.1765,0.9763,0.9621,0.9854,0.9521,0.9771,0.9814,0.983,0.9828,0.9812,0.9315,0.9616,0.9687,0.9713,0.9711,0.9684,0.9656,0.987,0.9896,0.9905,0.9904,0.9894,1,1,1,1,1,1,0.002,H
Tehama,,18,0.2778,0.9842,0.9724,0.9915,0.9637,0.9856,0.9885,0.9894,0.9893,0.9883,0.9462,0.9728,0.978,0.9799,0.9797,0.9778,0.9746,0.9936,0.995,0.9954,0.9954,0.995,1,1,1,1,1,1,0,H
Trinity,,7,0.8571,0.9299,0.8405,0.974,0.8862,0.9269,0.9396,0.9443,0.9437,0.9389,0.7642,0.8305,0.8578,0.8682,0.867,0.8561,0.9486,0.9745,0.9793,0.9811,0.9809,0.9791,1,1,1,1,1,1,0.6708,M
Tulare,,116,0.1379,0.9946,0.9936,0.9954,0.9793,0.997,0.9978,0.998,0.998,0.9978,0.9777,0.9959,0.9969,0.9971,0.9971,0.9968,0.9805,0.9979,0.9985,0.9987,0.9986,0.9985,1,1,1,1,1,1,0,H
Tuolumne,,15,0.1333,0.942,0.8884,0.9721,0.9027,0.9399,0.9506,0.9545,0.9541,0.95,0.828,0.882,0.9018,0.9094,0.9085,0.9008,0.9462,0.9726,0.9777,0.9795,0.9794,0.9775,1,1,1,1,1,1,0.5962,M
Ventura,,123,0.1707,0.9838,0.9799,0.9869,0.9631,0.9852,0.9881,0.9891,0.989,0.988,0.9575,0.981,0.9847,0.986,0.9858,0.9845,0.9677,0.9886,0.9909,0.9917,0.9916,0.9908,1,1,1,1,1,1,0,H
Yolo,,,,0.9855,0.9789,0.9904,0.9657,0.9871,0.9897,0.9905,0.9904,0.9896,0.9559,0.9798,0.9837,0.9851,0.9849,0.9835,0.973,0.9924,0.994,0.9945,0.9945,0.994,1,1,1,1,1,1,0,H
Yuba,,,,0.9786,0.9643,0.9878,0.9555,0.9796,0.9835,0.9849,0.9847,0.9833,0.9345,0.964,0.9707,0.9731,0.9729,0.9704,0.9691,0.9896,0.9917,0.9924,0.9923,0.9916,1,1,1,1,1,1,0.0015,H
Calaveras,,11,0.4545,0.9432,0.8853,0.9755,0.9046,0.9413,0.9517,0.9555,0.9551,0.9511,0.8241,0.8787,0.8992,0.9069,0.9059,0.8979,0.9509,0.9762,0.9808,0.9823,0.9822,0.9805,1,1,1,1,1,1,0.5408,M
Colusa,,6,0.1667,0.9925,0.9834,0.9963,0.9761,0.9946,0.9959,0.9962,0.9962,0.9958,0.9626,0.9848,0.9878,0.9889,0.9888,0.9878,0.9818,0.9988,0.9992,0.9993,0.9993,0.9992,1,1,1,1,1,1,3e-04,H
Contra Costa,,225,0.0756,0.9903,0.9886,0.9918,0.9728,0.9923,0.9939,0.9945,0.9944,0.9939,0.9703,0.9904,0.9924,0.993,0.993,0.9923,0.9751,0.9939,0.9953,0.9957,0.9957,0.9953,1,1,1,1,1,1,0,H
Del Norte,,10,0.4,0.9621,0.9195,0.9847,0.9316,0.9617,0.9687,0.9713,0.971,0.9684,0.8708,0.9157,0.9302,0.9357,0.935,0.9292,0.9645,0.9862,0.989,0.9899,0.9898,0.9889,1,1,1,1,1,1,0.1978,H
